ï»¿Position,Angle,Speed,HIC15,HIC36,HIC15 class,HIC36 class,DAB,CAB
-3,-75,60,4388,4388,4,4,No,Must
-4,0,60,5596,5596,4,4,Must,No
-4,15,60,39410,39410,4,4,Must,No
-4,30,60,9769,9769,4,4,Must,No
-4,45,60,4774,4774,4,4,Must,No
-4,60,60,3966,3997,4,4,Must,No
-4,75,60,1103,1252,4,4,Must,No
-4,-15,60,3228,3929,4,4,Must,No
-4,-30,60,1918,2295,4,4,Must,No
-4,-45,60,673.6,914.4,3,3,Must,Must
-4,-60,60,4235,4235,4,4,No,Must
-4,-75,60,4428,4428,4,4,No,Must
-5,0,60,6985,6985,4,4,Must,No
-5,15,60,11190,11190,4,4,Must,No
-5,30,60,6586,6586,4,4,Must,No
-5,45,60,7083,7083,4,4,Must,No
-5,60,60,5443,7315,4,4,Must,No
-5,75,60,1540,1985,4,4,Must,No
-5,-15,60,693.1,845.7,3,2,Must,No
-5,-30,60,238.4,295.9,0,0,Recommended,No
-5,-45,60,100.5,158.9,0,0,Recommended,No
-5,-60,60,158.4,272.7,0,0,Recommended,No
-6,15,60,7108,7108,4,4,Must,No
-6,30,60,2578,3726,4,4,Must,No
-6,45,60,6590,7864,4,4,Must,No
-6,60,60,508.2,824.5,1,2,Must,No
-6,75,60,713.1,1349,4,4,Must,No
-6,-15,60,97.44,183.9,0,0,Recommended,Recommended
-6,-30,60,72.51,111.1,0,0,Recommended,No
-6,-45,60,59.32,101.7,0,0,Recommended,No
-7,0,60,165.1,204.8,0,0,Recommended,No
-7,15,60,488.7,646.3,0,0,Must,No
-7,30,60,1332,1332,4,4,Recommended,No
-7,45,60,440.3,624.2,0,0,Must,No
-7,60,60,556.2,1068,1,4,Recommended,No
-7,75,60,262.7,421.9,0,0,No,No
-7,-15,60,78.88,109.1,0,0,No,No
-7,-30,60,17.8,33.78,0,0,No,No
1,0,70,16130,16130,4,4,Must,No
1,15,70,12520,12520,4,4,Must,Must
1,30,70,6855,9606,4,4,Must,Must
1,45,70,856.1,1327,4,4,Must,Must
1,60,70,2106,2106,4,4,Must,Must
1,75,70,530.5,829.7,1,2,No,Must
1,-15,70,37520,37520,4,4,Must,Must
1,-30,70,16190,16190,4,4,Must,No
1,-45,70,16730,16730,4,4,Must,Must
1,-60,70,8809,8809,4,4,Must,No
1,-75,70,1187,1338,4,4,Must,No
2,0,70,20590,20590,4,4,Must,No
2,15,70,8941,8941,4,4,Must,No
2,30,70,6142,6142,4,4,Must,Must
2,45,70,2008,2199,4,4,Must,Must
2,60,70,9067,9067,4,4,Must,Must
2,75,70,1174,1466,4,4,Must,Must
2,-15,70,23220,23220,4,4,Must,Must
2,-30,70,9897,9897,4,4,Must,Must
2,-45,70,9718,9718,4,4,Must,Must
2,-60,70,18330,18330,4,4,Must,Must
2,-75,70,796.3,1265,4,4,Must,No
3,0,70,19000,19820,4,4,Must,Must
3,15,70,35660,35660,4,4,Must,Must
3,30,70,12390,12390,4,4,Must,No
3,45,70,15620,15620,4,4,Must,Must
3,60,70,2633,2633,4,4,Must,Must
3,75,70,5384,5384,4,4,Must,Must
3,-15,70,25700,25700,4,4,Must,Must
3,-30,70,9253,9253,4,4,Must,No
3,-45,70,7762,7762,4,4,Must,No
3,-60,70,18660,22540,4,4,Must,No
3,-75,70,1271,1271,4,4,Must,No
4,0,70,15890,15890,4,4,Must,Must
4,15,70,64530,64530,4,4,Must,No
4,30,70,11080,11080,4,4,Must,Must
4,45,70,6365,10200,4,4,Must,Must
4,60,70,6828,6828,4,4,Must,Must
4,75,70,10950,10950,4,4,Must,Must
4,-15,70,15110,15110,4,4,Must,No
4,-30,70,10020,10020,4,4,Must,Must
4,-45,70,17420,17420,4,4,Must,Must
4,-60,70,2234,2441,4,4,Must,No
4,-75,70,740.2,1233,4,4,Must,No
5,0,70,7159,8620,4,4,Must,Must
5,15,70,5765,6650,4,4,Must,Must
5,30,70,8395,9289,4,4,Must,Must
5,45,70,24110,24110,4,4,Must,Must
5,60,70,9927,9927,4,4,Must,Must
5,75,70,11640,11640,4,4,Must,Must
5,-15,70,3709,3709,4,4,Must,No
5,-30,70,20030,25860,4,4,Must,No
5,-45,70,4262,4262,4,4,Must,Must
5,-60,70,1097,1599,4,4,Must,Must
6,0,70,2165,2165,4,4,Must,Must
6,15,70,42250,42250,4,4,Must,Must
6,30,70,32310,32310,4,4,Must,Must
6,45,70,4607,5479,4,4,Must,No
6,60,70,8311,8311,4,4,Must,Must
6,75,70,13500,13500,4,4,No,Must
6,-15,70,6296,9878,4,4,Must,No
6,-30,70,2132,2132,4,4,Must,Must
6,-45,70,1062,1162,4,4,Must,Must
7,0,70,396.5,806.8,0,2,Must,No
7,15,70,576,987.1,2,3,Must,Must
7,30,70,44020,44020,4,4,Must,Must
7,45,70,3875,4770,4,4,Must,No
7,60,70,13900,13900,4,4,Must,Must
7,75,70,19580,19580,4,4,Must,Must
7,-15,70,139.1,212.2,0,0,No,No
7,-30,70,694.4,694.4,3,1,No,Must
-2,0,70,12510,12510,4,4,Must,No
-2,15,70,17950,17950,4,4,Must,No
-2,30,70,23390,23390,4,4,Must,No
-2,45,70,8911,9445,4,4,Must,No
-2,60,70,8476,9855,4,4,Must,No
-2,75,70,1952,2284,4,4,Must,No
-2,-15,70,10760,10760,4,4,Must,No
-2,-30,70,3923,5789,4,4,Must,Must
-2,-45,70,6931,6931,4,4,Must,Must
-2,-60,70,3183,3183,4,4,Must,Must
-2,-75,70,9100,9100,4,4,Must,Must
-3,15,70,47660,47660,4,4,Must,No
-3,30,70,38460,38460,4,4,Must,No
-3,45,70,7310,7310,4,4,Must,No
-3,60,70,4841,5056,4,4,Must,No
-3,75,70,1632,1767,4,4,Must,No
-3,-15,70,11440,11440,4,4,Must,No
-3,-30,70,1497,2435,4,4,Must,Must
-3,-45,70,3947,3947,4,4,Must,Must
-3,-60,70,7244,7244,4,4,Must,Must
-3,-75,70,13320,13320,4,4,Must,Must
-4,15,70,36640,36640,4,4,Must,No
-4,30,70,6071,7825,4,4,Must,No
-4,45,70,26700,26700,4,4,Must,No
-4,60,70,4370,6135,4,4,Must,No
-4,75,70,183.6,276.8,0,0,Recommended,No
-4,-15,70,4928,5868,4,4,Must,No
-4,-30,70,2284,3161,4,4,Must,Must
-4,-45,70,5634,5634,4,4,Must,Must
-4,-60,70,8958,8958,4,4,Must,Must
-4,-75,70,11770,11770,4,4,No,Must
-5,0,70,24290,24290,4,4,Must,No
-5,15,70,4669,5224,4,4,Must,No
-5,30,70,3502,3502,4,4,Must,No
-5,45,70,6793,7109,4,4,Must,No
-5,60,70,3228,4410,4,4,Must,No
-5,75,70,15730,15730,4,4,Must,No
-5,-15,70,1390,1898,4,4,Must,No
-5,-30,70,825.2,825.2,4,2,Must,No
-5,-45,70,155.7,311.6,0,0,Recommended,Recommended
-5,-60,70,402.5,559.4,0,0,Recommended,Recommended
-6,0,70,1873,1873,4,4,Must,No
-6,15,70,10580,10580,4,4,Must,No
-6,30,70,2703,2703,4,4,Must,No
-6,45,70,1270,2097,4,4,Must,No
-6,60,70,1075,1465,4,4,Must,No
-6,75,70,1127,1439,4,4,Must,No
-6,-15,70,195.2,354.7,0,0,Recommended,No
-6,-30,70,118.3,177.3,0,0,Recommended,No
-6,-45,70,102,192.7,0,0,Recommended,No
-7,0,70,73.57,93.67,0,0,No,No
-7,15,70,835.3,1286,4,4,Must,No
-7,30,70,2474,2573,4,4,Must,No
-7,45,70,451.2,729.4,0,1,Must,No
-7,60,70,1266,2430,4,4,Must,No
-7,75,70,498.3,893.6,0,3,No,No
-7,-15,70,66.4,77.76,0,0,No,No
-7,-30,70,29.8,54.2,0,0,No,No
